Key	Type	Desc	English	German	French (France)	Portuguese (Brazil)	Italian (Italy)	Japanese	Korean	Russian	Spanish	Ukrainian	Chinese (Simplified)	Chinese (Traditional)	Thai
Error/ConnectionClose	Text		Connection closed	Verbindung geschlossen	Connexion fermée	Conexão encerrada	Connessione chiusa	接続が終了しました	연결 끊김	Соединение закрыто	Conexión cerrada	Підключення закрито	连接已关闭	連線已關閉	การเชื่อมต่อถูกปิด
Error/ConnectionFailedWith	Text		Connection failed:	Verbindung fehlgeschlagen:	Échec de la connexion :	Falha na conexão:	Connessione fallita:	接続失敗：	연결 실패:	Соединение прервано:	Error de conexión:	Не вдалося з'єднатися:	连接失败：	連線失敗：	เชื่อมต่อไม่สำเร็จ:
Error/ConnectionLost	Text		Connection lost	Verbindung unterbrochen	Connexion perdue	Conexão perdida	Connessione persa	切断されました	연결 끊김	Соединение потеряно	Conexión perdida	З'єднання втрачено	连接丢失	已失去連線	สูญเสียการเชื่อมต่อ
Error/CrossplayNotEnabled	Text		Crossplay not enabled	Plattformübergreifendes Spielen deaktiviert	Jeu inter-plateforme non activé	Jogar entre plataformas não é permitido	Crossplay non abilitato	クロスプレイ無効	크로스플레이가 활성화되지 않았습니다	Кросс-игра отключена	Crossplay no habilitado	Кросплей вимкнено	未启用跨平台游玩	跨平台遊玩未啟用	ปิดการเล่นข้ามแพลตฟอร์มอยู่
Error/FailedToLoad	Text		Failed to load	Konnte nicht geladen werden	Le chargement a échoué	Falha ao carregar	Caricamento fallito	ロードに失敗しました	로딩하지 못했습니다	Не удалось загрузить	Error al cargar	Не вдалося завантажити	加载失败	無法載入	โหลดไม่สำเร็จ
Error/FileAccess	Text		Couldn't access file	Auf Datei konnte nicht zugegriffen werden	N’a pas pu accéder au fichier	Não foi possível acessar o arquivo	Impossibile accedere al file	ファイルにアクセスできませんでした	파일에 액세스할 수 없습니다	Не удалось получить доступ к файлу	No se ha podido acceder al archivo	Не вдалося отримати доступ до файлу	无法访问文件	無法存取檔案	เข้าถึงไฟล์ไม่ได้
Error/GameNotFound	Text		Could not find game	Spiel kann nicht gefunden werden	Partie introuvable	Não foi possível achar partida	Impossibile trovare la partita	ゲームが見つかりませんでした	게임을 찾을 수 없음	Игра не найдена	No se ha podido encontrar la partida	Гру не знайдено	找不到游戏	找不到遊戲	ไม่พบเกม
Error/HostDisableCrossplay	Text		There seems to be an issue with crossplay. You can ask the host to disable it in the gameplay settings.	Es scheint ein Problem mit dem plattformübergreifenden Spielen zu geben. Du kannst den Host darum bitten, diese Funktion in den Spieleinstellungen zu deaktivieren.	Il semble qu’il y ait un problème avec le jeu inter-plateforme. Tu peux demander à l’hôte de le désactiver dans les paramètres de gameplay.	Parece haver um problema com o jogo entre plataformas. Você pode pedir para o anfitrião desativá-lo nas opções de jogo.	Sembra esserci un problema legato al crossplay. Puoi chiedere all'host di disattivarlo nelle impostazioni di gioco.	クロスプレイに問題が発生しているようです。ホストにゲーム設定からクロスプレイの無効化を依頼すれば改善する可能性があります。	크로스플레이에 문제가 있는 것으로 보입니다. 호스트에게 게임플레이 설정에서 크로스플레이를 비활성화하도록 요청할 수 있습니다.	Обнаружены проблемы с кросс-игрой. Попросите организатора отключить кросс-игру в настройках геймплея.	Parece haber un problema con el modo crossplay. Puedes pedirle al anfitrión que lo desactive en los ajustes de juego.	Схоже, кросплей працює некоректно. Ви можете попросити хоста вимкнути його в налаштуваннях гри.	跨平台游玩似乎存在问题。你可以要求主机在游戏设置中将其禁用。	跨平台遊玩似乎出現了問題。可在遊戲設定中請求主控者停用。	ดูเหมือนว่าจะเกิดปัญหากับการเล่นข้ามแพลตฟอร์ม คุณสามารถขอให้โฮสต์ปิดการใช้งานได้ในการตั้งค่าเกมเพลย์
Error/HostDoesNotAllowCrossplay	Text		Host does not allow crossplay	Host gestattet kein plattformübergreifendes Spielen	L'hôte ne permet pas le jeu inter-plateforme	O anfitrião não permite jogar entre plataformas	L'host non ha abilitato il crossplay	ホストがクロスプレイを許可していません	호스트가 크로스플레이를 허용하지 않습니다	Организатор запретил кросс-игру	El anfitrión no permite crossplay	Хост не дозволяє кросплей	主机不允许跨平台游玩	主機不允許跨平台遊玩	โฮสต์ไม่อนุญาตการเล่นข้ามแพลตฟอร์ม
Error/HostIncompatiblePlatform	Text		Host is incompatible with your platform since it does not support crossplay.	Deine Plattform und die Plattform des Hosts sind nicht kompatibel, da sie plattformübergreifendes Spielen nicht unterstützt.	L’hôte est incompatible avec votre plateforme, car elle ne prend pas en charge le jeu inter-plateforme.	Anfitrião incompatível com sua plataforma, pois ela não tem suporte a jogo entre plataformas.	L'host non è compatibile con la tua piattaforma in quanto non supporta il crossplay.	クロスプレイ未対応のため、使用中のプラットフォームはホストと互換性を持ちません。	현재 플랫폼이 크로스플레이를 지원하지 않아 호스트와 호환되지 않습니다.	Хост несовместим с вашей платформой: она не поддерживает кросс-игру.	El anfitrión es incompatible con tu plataforma porque no permite crossplay.	Хост несумісний з вашою платформою, оскільки не підтримує крос-гру.	主机不支持跨平台游玩，因此和你的平台不兼容。	主機並不支援跨平台遊玩，因此與你的平台不相容。	โฮสต์เข้ากับแพลตฟอร์มของคุณไม่ได้เนื่องจากไม่รองรับการเล่นข้ามแพลตฟอร์ม
Error/HostNotReady	Text		Host is not ready	Host ist nicht bereit	L’hôte n'est pas prêt	O anfitrião não está pronto	L'host non è ancora disponibile	ホストの準備がまだです	호스트가 준비되지 않음	Хост не готов	El servidor no está listo	Хост не готовий	主机尚未准备就绪	主機尚未就緒	โฮสต์ยังไม่พร้อม
Error/InternalError	Text		Internal error	Interner Fehler	Erreur interne	Erro interno	Errore interno	内部エラー	내부 오류	Внутренняя ошибка	Error interno	Внутрішня помилка	内部错误	內部錯誤	ข้อผิดพลาดภายใน
Error/InvalidAccess	Text		Invalid access	Ungültiger Zugriff	Accès invalide	Acesso inválido	Accesso non valido	無効なアクセス	유효하지 않은 액세스	Нет доступа	Acceso no válido	Недійсний доступ	无效访问	無效的存取	การเข้าถึงไม่ถูกต้อง
Error/InvalidRpc	Text		Invalid network message	Ungültige Netzwerkmeldung	Message réseau non valable	Mensagem de rede inválida	Messaggio di rete non valido	無効なネットワークメッセージ	유효하지 않은 네트워크 메시지	Сообщение о сетевой ошибке	Mensaje de red no válido	Недійсне мережеве повідомлення	网络消息无效	無效的網路訊息	ข้อความเครือข่ายไม่ถูกต้อง
Error/MaxConnectionAttempts	Text		Connection failed after too many retries	Verbindung nach zu vielen Versuchen fehlgeschlagen	Échec de la connexion après de trop nombreux essais	A conexão falhou após muitas tentativas	Connessione fallita in seguito a numerosi tentativi	何度も再試行しましたが接続に失敗しました	너무 많은 시도 이후로 연결 실패	Соединение прервано: слишком много попыток	Conexión fallida después de demasiados intentos	Не вдалося з'єднатися, забагато спроб	重试次数过多，连接失败	重試次數過多，連線失敗	เชื่อมต่อไม่สำเร็จหลังลองใหม่มากเกินไป
Error/MaxSessionTimeReached	Text		Maximum session time reached.	Maximale Sitzungszeit erreicht.	Le temps de session maximal a été atteint.	Tempo máximo de sessão atingido.	Tempo massimo della sessione raggiunto.	最大セッション時間に達しました。	최대 세션 시간에 도달했습니다.	Достигнут временной лимит сессии.	Se ha alcanzado la duración máxima de la sesión.	Досягнуто максимального часу сеансу.	已达到最长会话时间。	已達最大遊戲時間。	ถึงเวลาเซสชั่นสูงสุดแล้ว
Error/MultiplayerDisabledDueToError	Text		Connection to the multiplayer backend was lost. To re-enable multiplayer, exit and reopen the game world.	Die Verbindung zum Multiplayer-Backend wurde unterbrochen. Um Multiplayer zu reaktiveren, musst du die Welt verlassen und neu öffnen.	La connexion à la partie interne multijoueur a été perdue. Pour réactiver le multijoueur, quitte et ouvre à nouveau le monde du jeu.	Conexão com backend do multijogador perdida. Para reativar o multijogador, saia do mundo da partida e abra-o novamente.	Connessione al back-end della modalità multigiocatore persa. Per riattivare la modalità multigiocatore, esci e accedi nuovamente al mondo di gioco.	マルチプレイヤーバックエンドへの接続が失われました。マルチプレイヤーを再開するためにはゲームワールドから退出し、ふたたび開いてください。	멀티플레이어 백엔드와의 연결이 끊겼습니다. 멀티플레이어를 다시 활성화하려면 게임 세계를 종료한 후 다시 여세요.	Соединение с backend-частью многопользовательской игры потеряно. Чтобы заново подключиться к многопользовательской игре, перезайдите в игровой мир.	Se ha perdido la conexión con el servidor multijugador. Para reactivar el modo multijugador, sal y vuelve a abrir el mundo de juego.	Втрачено з'єднання з сервером мультиплеєра. Для повторного ввімкнення мультиплеєра вийдіть і заново відкрийте ігровий світ.	与多人游戏后端的连接已丢失。要重新启用多人游戏，请退出并重新打开游戏世界。	已失去多人遊戲的後端連線。若想重新啟用多人遊戲，請退出並重新開啟遊戲世界。	สูญเสียการเชื่อมต่อกับระบบ backend ของโหมดผู้เล่นหลายคน ปิดแล้วเปิดโลกเกมใหม่อีกรอบเพื่อเปิดใช้งานผู้เล่นหลายคนใหม่อีกครั้ง
Error/MultiplayerNonSteamNotAvailable	Text		Multiplayer with players outside of Steam is not available.	Der Multiplayer-Modus ist mit Nicht-Steam-Spielern nicht verfügbar.	Le multijoueur avec des joueurs hors de Steam n’est pas disponible.	Multijogador com jogadores fora do Steam indisponível.	La modalità multigiocatore con gli utenti al di fuori di Steam non è disponibile.	Steam外のプレイヤーとはマルチプレイができません。	Steam 외 플랫폼을 사용하는 플레이어와 멀티플레이어를 이용할 수 없습니다.	Игроки вне Steam не могут участвовать в многопользовательской игре.	El modo multijugador con jugadores de fuera de Steam no está disponible.	Мультиплеєр підтримується лише в Steam і недоступний на інших платформах.	无法与非 Steam 平台的玩家进行多人游戏。	無法與非 Steam 的玩家進行多人遊戲。	ผู้เล่นหลายคนกับผู้เล่นนอก Steam ไม่พร้อมใช้งาน
Error/MultiplayerNotAvailable	Text		Multiplayer is not available.	Der Multiplayer-Modus ist nicht verfügbar.	Le multijoueur n’est pas disponible.	Multijogador indisponível.	La modalità multigiocatore non è disponibile.	マルチプレイができません。	멀티플레이어를 이용할 수 없습니다.	Многопользовательская игра недоступна.	Modo multijugador no disponible.	Мультиплеєр недоступний.	无法进行多人游戏。	無法進行多人遊戲。	ผู้เล่นหลายคนไม่พร้อมใช้งาน
Error/NetworkInitFailed	Text		Network initialization failed.	Netzwerk-Initialisierung fehlgeschlagen.	Échec de l’initialisation du réseau.	Falha ao inicializar rede.	Inizializzazione di rete non riuscita.	ネットワークの初期化に失敗しました。	네트워크 초기화에 실패했습니다.	Инициализация сети не удалась.	Error al inicializar la red.	Помилка ініціалізації мережі.	网络初始化失败。	網路初始化失敗。	เริ่มต้นเครือข่ายไม่สำเร็จ
Error/NoNetwork	Text		No network	Kein Netzwerk	Pas de réseau	Sem rede	Rete assente	ネットワークがありません	네트워크 없음	Нет сети	Sin red	Немає з'єднання	没有网络	沒有網路	ไม่มีเครือข่าย
Error/NoWorldWriteWarning	Text		There has been no auto save since {0} minutes. This probably means an error has occurred. Restarting the host is recommended to ensure all progress is saved.	Seit {0} Minuten fand keine automatische Speicherung statt. Das bedeutet wahrscheinlich, dass ein Fehler aufgetreten ist. Es wird empfohlen, den Host neu zu starten, um das Speichern aller Fortschritte sicherzustellen.	Il n’y a pas eu de sauvegarde automatique depuis {0} minutes. Cela veut dire qu’une erreur s’est peut-être produite. Il est recommandé de redémarrer l’hôte pour s’assurer que toute la progression est sauvegardée.	Não houve salvamento automático há {0} minutos. Isso provavelmente significa que ocorreu um erro. Recomenda-se reiniciar o anfitrião para garantir que todo o progresso seja salvo.	L'ultimo autosalvataggio è stato effettuato {0} minuti fa. È possibile che si sia verificato un errore. È consigliabile ripristinare l'host per assicurarsi che tutti i progressi vengano salvati.	{0}分間オートセーブが行われていません。エラーが発生した可能性があります。すべての進行状況を確実に保存するために、ホストの再起動を推奨いたします。	지난 {0}분 동안 자동 저장이 이루어지지 않았습니다. 오류가 발생한 것으로 보입니다. 진행 상황이 손실되지 않도록 호스트를 재시작하는 것을 권장합니다.	Автосохранение не выполнялось уже {0} мин. Вероятно, возникла ошибка. Рекомендуется перезапустить хост, чтобы не потерять прогресс.	No ha habido guardado automático en {0} minutos. Probablemente signifique que ha habido un error. Recomendamos reiniciar el servidor para asegurar que se guarde todo el progreso.	Не було автозбереження протягом {0} хв. Можливо, сталася помилка. Щоби зберегти прогрес, рекомендується перезапустити хост.	游戏已经 {0} 分钟没有自动保存了。这可能意味着有错误发生。建议重启主机，确保所有进度都得到保存。	遊戲已有 {0} 分鐘沒有進行自動儲存。可能表示發生了錯誤。建議重新啟動主機，以確保所有的進度皆已儲存。	ไม่มีการบันทึกอัตโนมัติในช่วง {0} นาทีที่ผ่านมาซึ่งอาจแปลว่าเกิดข้อผิดพลาดขึ้น เราขอแนะนำให้โฮสต์ทำการรีสตาร์ทเพื่อให้มั่นใจว่าความคืบหน้าทั้งหมดจะได้รับการบันทึกไว้
Error/NoWorldWriteWarningEnd	Text		Auto save successful!	Automatisches Speichern erfolgreich!	Sauvegarde automatique réussie !	Salvamento automático concluído!	Autosalvataggio completato!	オートセーブが完了しました！	자동 저장 성공!	Успешное автосохранение!	¡Guardado automático realizado!	Успішне автозбереження!	自动保存成功！	自動儲存成功！	บันทึกอัตโนมัติสำเร็จ!
Error/PleaseWait	Text		Please wait.	Bitte warten.	Merci de patienter.	Aguarde.	Attendi.	お待ちください。	잠시 기다려 주세요.	Подожди, пожалуйста.	Espera.	Зачекай.	请等待。	請稍候。	โปรดรอ
Error/ReconnectAuthentication	Text		authenticating	Authentifizierung läuft	authentification	autenticando	autenticazione in corso	認証中	인증 중	аутентификация	autenticando	автентифікація	验证中	正在驗證	กำลังยืนยันตัวตน
Error/ReconnectLobby	Text		joining lobby	Lobbybeitritt	reconnexion au lobby	ingressando na sala	partecipazione alla lobby	ロビーに参加中	로비 참가 중	присоединение к лобби	accediendo a vestíbulo	приєднання до лобі	加入大厅中	正在加入大廳	กำลังเข้าร่วมล็อบบี้
Error/ReconnectNetwork	Text		checking internet connection	Internetverbindung wird geprüft	vérification de la connexion internet en cours	verificando conexão com a Internet	controllo connessione a internet in corso	インターネット接続の確認中	인터넷 연결 확인 중	проверка соединения с интернетом	comprobando conexión a Internet	перевірка підключення до інтернету	检查网络连接中	正在確認網路連線	กำลังตรวจสอบการเชื่อมต่ออินเทอร์เน็ต
Error/ReconnectPlatformSession	Text		joining platform session	Beitritt zur Plattform-Sitzung	reconnexion à la session de plateforme	ingressando na sessão da plataforma	partecipazione alla sessione della piattaforma	プラットフォームセッションに参加中	플랫폼 세션 참가 중	присоединение к платформенной сессии	accediendo a sesión de plataforma	приєднання до сеансу на платформі	加入平台会话中	正在加入平台遊戲	กำลังเข้าร่วมเซสชั่นแพลตฟอร์ม
Error/ReconnectPlayFabNetwork	Text		joining network	Netzwerk-Beitritt	reconnexion au réseau	ingressando na rede	partecipazione alla rete	ネットワークに参加中	네트워크 참가 중	подключение к сети	accediendo a red	приєднання до мережі	加入网络中	正在加入網路	กำลังเข้าร่วมเครือข่าย
Error/ReconnectServerPlayer	Text		waiting for host	warte auf Host	en attente d’hôte	aguardando anfitrião	in attesa dell'host	ホストの待機中	호스트 기다리는 중	ожидание хоста	esperando a anfitrión	очікування хоста	等待主机中	正在等候主機	กำลังรอโฮสต์
Error/Reconnecting	Text		"Trying to reconnect
(Step {0}/{1}: {2})"	"Es wird versucht, eine Verbindung wiederherzustellen
(Schritt {0}/{1}: {2})"	"Tentative de reconnexion en cours
(étape {0}/{1} : {2})"	"Tentando reconectar
(Etapa {0}/{1}: {2})"	"Tentativo di riconnessione.
(Fase {0}/{1}: {2})"	"再接続の試行中
（ステップ {0}/{1}: {2}）"	"재연결 시도 중
({0}/{1}단계: {2})"	"Выполняется переподключение
(шаг {0}/{1}: {2})"	"Intentando reconectar
(paso {0}/{1}: {2})"	"З'єднання відновлюється
(крок {0}/{1}: {2})"	"正在尝试重新连接
（步骤 {0}/{1}：{2}）"	"正在嘗試重新連線
（步驟 {0}/{1}：{2}）"	"กำลังพยายามเชื่อมต่อใหม่
(ขั้นที่ {0}/{1}: {2})"
Error/RecreateSession	Text		recreating session	Sitzung wird wiederhergestellt	recréation de session	recriando sessão	creazione nuova sessione	セッションの再作成中	세션 재생성 중	восстановление сессии	recreando sesión	повторне створення сеансу	重新创建会话中	正在重新建立遊戲	กำลังสร้างเซสชั่นใหม่
Error/SaveFileCorrupt	Text		Could not read save file	Speicherdatei konnte nicht gelesen werden	Impossible de lire le fichier sauvegardé	Não foi possível ler o arquivo salvo	Impossibile leggere il file di salvataggio	セーブファイルの読み込みに失敗しました	저장 파일을 읽을 수 없음	Файл сохранения не читается	No se ha podido leer el archivo guardado	Не вдалося прочитати файл збереження	无法读取存档文件。	無法讀取儲存的檔案	ไม่สามารถอ่านไฟล์เซฟได้
Error/SessionBlockedBy	Text	Used to denote a session which cannot be entered due to the presence of a player who has blocked the user.	You cannot join this session because it contains a user who has blocked you.	Du kannst dieser Sitzung nicht beitreten, weil ein Benutzer daran teilnimmt, der dich ausgeschlossen hat.	Tu ne peux pas rejoindre cette session, parce que s’y trouve un utilisateur qui t’a bloqué.	Não é possível ingressar na sessão, pois há um usuário que bloqueou você.	Non puoi unirti alla sessione poiché è presente un utente che ti ha bloccato.	あなたをブロックしたユーザーがいるためこのセッションに参加できません。	나를 차단한 사용자가 있어 이 세션에 참가할 수 없습니다.	Ты не можешь присоединиться к сессии: в ней участвует пользователь, который тебя заблокировал.	No puedes unirte a esta sesión porque un usuario que te ha bloqueado forma parte de ella.	Не можна приєднатися до сеансу, оскільки в ньому є користувач, що тебе заблокував.	你不能加入此会话，因为其中有拉黑你的用户。	由於這場遊戲有已封鎖你的使用者，故無法加入。	ไม่สามารถเข้าร่วมเซสชั่นได้เนื่องจากมีผู้ใช้ที่บล็อกคุณอยู่
Error/SessionContainsBlockedUser	Text	Used to denote a session which cannot be entered due to the presence of a player which has been blocked by the user.	You cannot join this session because it contains a user you have blocked.	Du kannst dieser Sitzung nicht beitreten, weil ein von dir ausgeschlossener Benutzer daran teilnimmt.	Tu ne peux pas rejoindre cette session, parce que s’y trouve un utilisateur que tu as bloqué.	Não é possível ingressar na sessão, pois há um usuário bloqueado.	Non puoi unirti alla sessione poiché è presente un utente che hai bloccato.	ブロックしたユーザーがいるためこのセッションに参加できません。	내가 차단한 사용자가 있어 이 세션에 참가할 수 없습니다.	Ты не можешь присоединиться к сессии: в ней участвует заблокированный тобой пользователь.	No puedes unirte a esta sesión porque un usuario al que has bloqueado forma parte de ella.	Не можна приєднатися до сеансу, оскільки в ньому є заблокований тобою користувач.	你不能加入此会话，因为其中有你已拉黑的用户。	由於這場遊戲有你已封鎖的使用者，故無法加入。	ไม่สามารถเข้าร่วมเซสชั่นได้เนื่องจากมีผู้ใช้ที่คุณบล็อกอยู่
Error/SessionJoinBanned	Text		You cannot join this session because you have been banned by a session admin.	Du kannst dieser Sitzung nicht beitreten, weil du von einem Sitzungsadministrator ausgeschlossen wurdest.	Tu ne peux pas rejoindre cette session, parce que tu as été exclu par un administrateur de session.	Não é possível ingressar na sessão, pois um ADM da sessão baniu você.	Non puoi unirti alla sessione poiché l'amministratore della sessione ti ha espulso.	セッション管理者から参加を禁止されているためこのセッションに参加できません。	세션 관리자에게 차단당해 이 세션에 참가할 수 없습니다.	Ты не можешь присоединиться к сессии: администратор выдал тебе бан.	No puedes unirte a esta sesión porque un administrador te ha vetado.	Не можна приєднатися до сеансу, оскільки тебе заблокував адміністратор.	你不能加入此会话，因为你已被会话管理员封禁。	由於已遭遊戲管理員禁止，故無法加入這場遊戲。	ไม่สามารถเข้าร่วมเซสชั่นได้เนื่องจากถูกแอดมินเซสชั่นแบน
Error/Timeout	Text		Connection timed out	Zeitüberschreitung bei der Verbindung	La connexion a expiré	Tempo de conexão esgotado	Connessione scaduta	接続タイムアウト	연결 시간 초과	Время соединения истекло	Conexión expirada	Час очікування підключення закінчився	连接超时	連線逾時	หมดเวลาเชื่อมต่อ
Error/Unknown	Text		Unknown error	Unbekannter Fehler	Erreur inconnue	Erro desconhecido	Errore sconosciuto	不明なエラー	알 수 없는 오류	Неизвестная ошибка	Error desconocido	Невідома помилка	未知错误	未知的錯誤	ข้อผิดพลาดที่ไม่รู้จัก
Error/UserConnected	Text		{0} connected.	{0} verbunden.	{0} a rejoint la session.	{0} conectou.	{0} ha effettuato la connessione.	{0}が接続されました。	{0} 님이 접속했습니다.	{0}: игрок подключился.	{0} se ha conectado.	{0} під'єднується.	{0} 已连接。	{0} 已連線。	{0} เชื่อมต่อแล้ว
Error/UserDisconnected	Text		{0} disconnected.	{0} Verbindung getrennt.	{0} a quitté la session.	{0} desconectou.	{0} ha effettuato la disconnessione.	{0}が切断されました。	{0} 님이 접속을 종료했습니다.	{0}: игрок отключился.	{0} se ha desconectado.	{0} від'єднується.	{0} 已断开连接。	{0} 已中斷連線。	{0} หยุดเชื่อมต่อแล้ว
Error/WorldVersionTooHigh	Text		This world was created using a more recent game version. Please check for game updates.	Diese Welt wurde mit einer neueren Spielversion erstellt. Bitte prüfe, ob Spiel-Updates verfügbar sind.	Ce monde a été créé en utilisant une version du jeu plus récente. Vérifie les mises à jour du jeu.	Este mundo foi criado em uma versão mais atual do jogo. Verifique atualizações do jogo.	Questo mondo è stato creato utilizzando una versione del gioco più recente. Controlla la disponibilità di aggiornamenti.	より新しいゲームバージョンで作成されたワールドです。アップデートをご確認ください。	이 세계는 게임의 더 최근 버전으로 생성되었습니다. 게임 업데이트를 확인해 주세요.	Этот мир создан в более новой версии игры. Проверь, нет ли обновлений.	Este mundo se ha creado usando una versión más reciente del juego. Consulta las actualizaciones.	Світ створено в новішій версії гри. Перевір оновлення.	这个世界是使用较新的游戏版本创建的。请检查游戏更新。	這個世界是以較新的遊戲版本建立。請檢查遊戲更新。	โลกนี้สร้างขึ้นโดยใช้เกมเวอร์ชันที่ใหม่กว่า กรุณาตรวจสอบอัปเดตเกม
Error/reqFailNotificationGPU	Text		Warning: Your GPU does not meet the minimum requirements. Game visuals might not work correctly	Warnung: Dein Grafikprozessor entspricht nicht den Mindestanforderungen. Die Grafik des Spiels wird unter Umständen nicht richtig funktionieren.	Avertissement : ton GPU ne répond pas aux exigences minimales. Les images du jeu peuvent ne pas fonctionner correctement.	Atenção: sua placa de vídeo não atende aos requisitos mínimos. Talvez o aspecto visual do jogo não funcione corretamente	Attenzione: la tua GPU non possiede i requisiti minimi. Gli effetti visivi del gioco potrebbero non funzionare correttamente	警告：GPUが最小要件を満たしていません。ゲームのビジュアルが正しく動作しない可能性があります。	경고: GPU가 최소 요건을 충족하지 못합니다. 게임 그래픽이 제대로 작동하지 않을 수 있습니다.	Предупреждение: видеокарта не соответствует минимальным требованиям, поэтому игра может отображаться некорректно	Advertencia: Tu unidad de procesamiento gráfico no alcanza los requisitos mínimos. Los gráficos del juego podrían no funcionar correctamente.	Попередження: графічний процесор не відповідає мінімальним вимогам. Гра може не працювати належним чином	警告：你的GPU不符合最低要求。游戏的视觉效果可能无法正常工作。	警告：你的 GPU 並不符合最低需求。遊戲的視覺效果可能無法正常運作	คำเตือน: GPU ของคุณไม่ตรงตามความต้องการขั้นต่ำสุด ภาพในเกมอาจทำงานไม่ถูกต้อง
FollowTwitter	Text		Follow us on Twitter	Folge uns auf Twitter	Suis-nous sur X	Siga-nos no X	Seguici su X	公式Twitterをフォロー	Twitter에서 팔로우하기	Подписывайтесь на нас в X	Síguenos en Twitter	Підписуйтеся на нас в X	在 Twitter 上关注我们	在 X 上追蹤我們	ติดตามเราบน Twitter
FoodAdjectives/AmberLarva	Text		Meaty	Fleischiges	dodu	Carnudo	corposo	肉厚な	통통한	Мясное	Carnoso	М'ясне	肉质的	多肉	เนื้อล้วน
FoodAdjectives/AmberLarvaFemale	Text		Meaty	Fleischige	dodue	Carnuda	corposa	肉厚な	통통한	Мясная	Carnosa	М'ясна	肉质的	多肉	เนื้อล้วน
FoodAdjectives/AmberLarvaMale	Text		Meaty	Fleischiger	dodu	Carnudo	corposo	肉厚な	통통한	Мясной	Carnoso	М'ясний	肉质的	多肉	เนื้อล้วน
FoodAdjectives/AngleFish	Text		Encased	Umhülltes	enveloppé	Revestido	racchiuso	封じられた	둘러싸인	Завернутое	Encerrado	Загорнуте	被包裹着的	包裹住的	ห่อหุ้ม
FoodAdjectives/AngleFishFemale	Text		Encased	Umhüllte	enveloppée	Revestida	racchiusa	封じられた	둘러싸인	Завернутая	Encerrada	Загорнута	被包裹着的	包裹住的	ห่อหุ้ม
FoodAdjectives/AngleFishMale	Text		Encased	Umhüllter	enveloppé	Revestido	racchiuso	封じられた	둘러싸인	Завернутый	Encerrado	Загорнутий	被包裹着的	包裹住的	ห่อหุ้ม
FoodAdjectives/AstralJelly	Text		Astral	Astrales	astral	Astral	astrale	星の	별의	Астральное	Astral	Зоряне	宛若星辰的	星狀	กายทิพย์
FoodAdjectives/AstralJellyFemale	Text		Astral	Astrale	astrale	Astral	astrale	星の	별의	Астральная	Astral	Зоряна	宛若星辰的	星狀	กายทิพย์
FoodAdjectives/AstralJellyMale	Text		Astral	Astraler	astral	Astral	astrale	星の	별의	Астральный	Astral	Зоряний	宛若星辰的	星狀	กายทิพย์
FoodAdjectives/AtlantianWormHeart	Text		Atlantean	Atlantisches	atlante	Atlante	atlantideo	アトラスの	초거대	Атлантическое	Atlante	Атлантичне	亚特兰蒂斯的	亞特蘭提斯	แอตแลนเทียน
FoodAdjectives/AtlantianWormHeartFemale	Text		Atlantean	Atlantische	atlante	Atlante	atlantidea	アトラスの	초거대	Атлантическая	Atlante	Атлантична	亚特兰蒂斯的	亞特蘭提斯	แอตแลนเทียน
FoodAdjectives/AtlantianWormHeartMale	Text		Atlantean	Atlantischer	atlante	Atlante	atlantideo	アトラスの	초거대	Атлантический	Atlante	Атлантичний	亚特兰蒂斯的	亞特蘭提斯	แอตแลนเทียน
FoodAdjectives/AzureFeatherFish	Text		Azure	Azurblaues	azur	Lazúli	azzurro	空色の	하늘색	Лазурное	Cerúleo	Лазурне	蔚蓝色的	蔚藍	สีฟ้าใส
FoodAdjectives/AzureFeatherFishFemale	Text		Azure	Azurblaue	azur	Lazúli	azzurra	空色の	하늘색	Лазурная	Cerúlea	Лазурна	蔚蓝色的	蔚藍	สีฟ้าใส
FoodAdjectives/AzureFeatherFishMale	Text		Azure	Azurblauer	azur	Lazúli	azzurro	空色の	하늘색	Лазурный	Cerúleo	Лазурний	蔚蓝色的	蔚藍	สีฟ้าใส
FoodAdjectives/BlackSteelUrchin	Text		Black	Schwarzes	noir	Preto	nero	黒色の	검정	Черное	Negro	Чорне	黑色的	黑色	สีดำ
FoodAdjectives/BlackSteelUrchinFemale	Text		Black	Schwarze	noire	Preta	nera	黒色の	검정	Черная	Negra	Чорна	黑色的	黑色	สีดำ
FoodAdjectives/BlackSteelUrchinMale	Text		Black	Schwarzer	noir	Preto	nero	黒色の	검정	Черный	Negro	Чорний	黑色的	黑色	สีดำ
FoodAdjectives/BloatOat	Text		Filling	Sättigendes	rassasiant	Empanzinador	sostanzioso	お腹いっぱいの	든든한	Сытное	Relleno	Ситне	饱腹感很强的	富飽足感的	อิ่มท้อง
FoodAdjectives/BloatOatFemale	Text		Filling	Sättigende	rassasiante	Empanzinadora	sostanziosa	お腹いっぱいの	든든한	Сытная	Rellena	Ситна	饱腹感很强的	富飽足感的	อิ่มท้อง
FoodAdjectives/BloatOatMale	Text		Filling	Sättigender	rassasiant	Empanzinador	sostanzioso	お腹いっぱいの	든든한	Сытный	Relleno	Ситний	饱腹感很强的	富飽足感的	อิ่มท้อง
FoodAdjectives/BloatOatRare	Text		Stodgy	Nährendes	indigeste	Indigesto	indigesto	お腹がふくれる	더부룩한	Наваристое	Pesado	Густе	不易消化的	不易消化的	อยู่ท้อง
